name	label	value
catches	1963-0-0-4	30	
catches	1963-0-1-0	0	
catches	1963-0-1-1	2326	
catches	1963-0-1-2	0	
catches	1963-0-1-3	0	
catches	1963-0-1-4	0	
catches	1963-0-2-0	0	
catches	1963-0-2-1	710	
catches	1963-0-2-2	730	
catches	1963-0-2-3	966	
catches	1963-0-2-4	97	
catches	1963-1-0-0	12	
catches	1963-1-0-1	26	
catches	1963-1-0-2	608	
catches	1963-1-0-3	69	
catches	1963-1-0-4	121	
catches	1963-1-1-0	0	
catches	1963-1-1-1	2186	
catches	1963-1-1-2	0	
catches	1963-1-1-3	0	
catches	1963-1-1-4	0	
catches	1963-1-2-0	0	
catches	1963-1-2-1	710	
catches	1963-1-2-2	730	
catches	1963-1-2-3	966	
catches	1963-1-2-4	114	
catches	1963-2-0-0	12	
catches	1963-2-0-1	9	
catches	1963-2-0-2	608	
catches	1963-2-0-3	118	
catches	1963-2-0-4	15	
catches	1963-2-1-0	0	
catches	1963-2-1-1	1700	
catches	1963-2-1-2	0	
catches	1963-2-1-3	0	
catches	1963-2-1-4	0	
catches	1963-2-2-0	0	
catches	1963-2-2-1	710	
catches	1963-2-2-2	730	
catches	1963-2-2-3	966	
catches	1963-2-2-4	108	
catches	1963-3-0-0	12	
catches	1963-3-0-1	142	
catches	1963-3-0-2	608	
catches	1963-3-0-3	54	
catches	1963-3-0-4	38	
catches	1963-3-1-0	0	
catches	1963-3-1-1	1789	
catches	1963-3-1-2	0	
catches	1963-3-1-3	0	
catches	1963-3-1-4	0	
catches	1963-3-2-0	0	
catches	1963-3-2-1	710	
catches	1963-3-2-2	730	
catches	1963-3-2-3	966	
catches	1963-3-2-4	96	
catches	1964-0-0-0	55	
catches	1964-0-0-1	86	
catches	1964-0-0-2	834	
catches	1964-0-0-3	95	
catches	1964-0-0-4	18	
catches	1964-0-1-0	0	
catches	1964-0-1-1	2326	
catches	1964-0-1-2	0	
catches	1964-0-1-3	0	
catches	1964-0-1-4	0	
catches	1964-0-2-0	0	
catches	1964-0-2-1	687	
catches	1964-0-2-2	728	
catches	1964-0-2-3	969	
catches	1964-0-2-4	103	
catches	1964-1-0-0	55	
catches	1964-1-0-1	24	
catches	1964-1-0-2	863	
catches	1964-1-0-3	62	
